enonce,type,reponse,explication,difficulte,points,tempsLimite,categorie,choixA,choixB,choixC,choixD,mediaFile,audioFile,videoFile,videoUrl,videoDebut,videoFin
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Tunis,Tunis est la capitale du/de la Tunisie.,DIFFICILE,200,25,Géographie,Praia,Luanda,Rabat,Tunis,img/drapeau-tunisie.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Égypte,Drapeau du/de la Égypte.,FACILE,100,25,Géographie,Togo,Nigeria,Afrique du Sud,Égypte,img/drapeau-egypte.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Le Caire,Le Caire est la capitale du/de la Égypte.,MOYEN,150,25,Géographie,Dodoma,Antananarivo,Addis-Abeba,Le Caire,img/drapeau-egypte.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Afrique du Sud,Drapeau du/de la Afrique du Sud.,MOYEN,150,25,Géographie,Afrique du Sud,Cap-Vert,Togo,Angola,img/drapeau-afrique-du-sud.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Pretoria,Pretoria est la capitale du/de la Afrique du Sud.,DIFFICILE,200,25,Géographie,Antananarivo,Freetown,Pretoria,Monrovia,img/drapeau-afrique-du-sud.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Kenya,Drapeau du/de la Kenya.,MOYEN,150,25,Géographie,Tunisie,Tchad,Kenya,Ghana,img/drapeau-kenya.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Nairobi,Nairobi est la capitale du/de la Kenya.,DIFFICILE,200,25,Géographie,Praia,Antananarivo,Nairobi,Brazzaville,img/drapeau-kenya.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Éthiopie,Drapeau du/de la Éthiopie.,MOYEN,150,25,Géographie,Ghana,Sénégal,RD Congo,Éthiopie,img/drapeau-ethiopie.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Addis-Abeba,Addis-Abeba est la capitale du/de la Éthiopie.,DIFFICILE,200,25,Géographie,Banjul,Addis-Abeba,Nouakchott,Kigali,img/drapeau-ethiopie.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Tanzanie,Drapeau du/de la Tanzanie.,DIFFICILE,200,25,Géographie,Éthiopie,Bénin,Tanzanie,Cameroun,img/drapeau-tanzanie.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Dodoma,Dodoma est la capitale du/de la Tanzanie.,DIFFICILE,200,25,Géographie,Alger,Dodoma,Monrovia,Kinshasa,img/drapeau-tanzanie.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Ouganda,Drapeau du/de la Ouganda.,DIFFICILE,200,25,Géographie,Sierra Leone,Burkina Faso,Afrique du Sud,Ouganda,img/drapeau-ouganda.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Kampala,Kampala est la capitale du/de la Ouganda.,DIFFICILE,200,25,Géographie,Kampala,Dakar,Banjul,Alger,img/drapeau-ouganda.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Rwanda,Drapeau du/de la Rwanda.,MOYEN,150,25,Géographie,Éthiopie,Rwanda,Guinée-Bissau,Cameroun,img/drapeau-rwanda.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Kigali,Kigali est la capitale du/de la Rwanda.,DIFFICILE,200,25,Géographie,Le Caire,Kigali,Pretoria,Conakry,img/drapeau-rwanda.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Angola,Drapeau du/de la Angola.,DIFFICILE,200,25,Géographie,Angola,Tunisie,Algérie,Zambie,img/drapeau-angola.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Luanda,Luanda est la capitale du/de la Angola.,DIFFICILE,200,25,Géographie,Libreville,Tunis,Abuja,Luanda,img/drapeau-angola.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Mozambique,Drapeau du/de la Mozambique.,DIFFICILE,200,25,Géographie,Zambie,Mozambique,Tunisie,Ouganda,img/drapeau-mozambique.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Maputo,Maputo est la capitale du/de la Mozambique.,DIFFICILE,200,25,Géographie,Conakry,Maputo,Tunis,Bissau,img/drapeau-mozambique.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Zimbabwe,Drapeau du/de la Zimbabwe.,DIFFICILE,200,25,Géographie,Ouganda,Zimbabwe,Mali,Angola,img/drapeau-zimbabwe.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Harare,Harare est la capitale du/de la Zimbabwe.,DIFFICILE,200,25,Géographie,Brazzaville,Nouakchott,Tunis,Harare,img/drapeau-zimbabwe.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Zambie,Drapeau du/de la Zambie.,DIFFICILE,200,25,Géographie,Zambie,Éthiopie,Bénin,Madagascar,img/drapeau-zambie.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Lusaka,Lusaka est la capitale du/de la Zambie.,DIFFICILE,200,25,Géographie,Libreville,Lusaka,N'Djamena,Lomé,img/drapeau-zambie.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Madagascar,Drapeau du/de la Madagascar.,MOYEN,150,25,Géographie,Ghana,Sénégal,Zambie,Madagascar,img/drapeau-madagascar.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Antananarivo,Antananarivo est la capitale du/de la Madagascar.,DIFFICILE,200,25,Géographie,Antananarivo,Yaoundé,Luanda,Lomé,img/drapeau-madagascar.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Mauritanie,Drapeau du/de la Mauritanie.,DIFFICILE,200,25,Géographie,Cap-Vert,Kenya,Mauritanie,Gabon,img/drapeau-mauritanie.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Nouakchott,Nouakchott est la capitale du/de la Mauritanie.,DIFFICILE,200,25,Géographie,Nouakchott,Bamako,Kigali,Porto-Novo,img/drapeau-mauritanie.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Gambie,Drapeau du/de la Gambie.,DIFFICILE,200,25,Géographie,Gambie,Kenya,Sénégal,Ghana,img/drapeau-gambie.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Banjul,Banjul est la capitale du/de la Gambie.,DIFFICILE,200,25,Géographie,Banjul,Dakar,Kigali,Porto-Novo,img/drapeau-gambie.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Guinée-Bissau,Drapeau du/de la Guinée-Bissau.,DIFFICILE,200,25,Géographie,Algérie,Côte d'Ivoire,Guinée-Bissau,Tchad,img/drapeau-guinee-bissau.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Bissau,Bissau est la capitale du/de la Guinée-Bissau.,DIFFICILE,200,25,Géographie,Bissau,Nairobi,Monrovia,Luanda,img/drapeau-guinee-bissau.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Cap-Vert,Drapeau du/de la Cap-Vert.,DIFFICILE,200,25,Géographie,Zambie,Guinée,Cap-Vert,Ghana,img/drapeau-cap-vert.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Praia,Praia est la capitale du/de la Cap-Vert.,DIFFICILE,200,25,Géographie,Brazzaville,Praia,Accra,Kampala,img/drapeau-cap-vert.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Tchad,Drapeau du/de la Tchad.,DIFFICILE,200,25,Géographie,Congo,Tchad,Mauritanie,Angola,img/drapeau-tchad.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,N'Djamena,N'Djamena est la capitale du/de la Tchad.,DIFFICILE,200,25,Géographie,Tunis,Le Caire,N'Djamena,Praia,img/drapeau-tchad.png,,,,,
Quel est cet animal ?,IMAGE,L'éléphant,Symbole de la Côte d'Ivoire (les Éléphants).,FACILE,100,25,Nature,L'éléphant,Le mandrill,La girafe,Le buffle,img/l-elephant.jpg,,,,,
Quel est cet animal ?,IMAGE,Le lion,Grand félin de la savane.,FACILE,100,25,Nature,Le lion,L'antilope,Le pangolin,Le crocodile,img/le-lion.jpg,,,,,
Quel est cet animal ?,IMAGE,La girafe,Plus grand animal terrestre.,FACILE,100,25,Nature,Le crocodile,Le chimpanzé,La girafe,Le buffle,img/la-girafe.jpg,,,,,
Quel est cet animal ?,IMAGE,L'hippopotame,Mammifère semi-aquatique.,FACILE,100,25,Nature,L'éléphant,L'hippopotame,Le buffle,Le calao,img/l-hippopotame.jpg,,,,,
Quel est cet animal ?,IMAGE,Le buffle,Bovidé sauvage africain.,MOYEN,150,25,Nature,Le crocodile,Le léopard,Le buffle,Le lion,img/le-buffle.jpg,,,,,
Quel est cet animal ?,IMAGE,Le léopard,Félin tacheté arboricole.,MOYEN,150,25,Nature,Le calao,La girafe,Le léopard,Le crocodile,img/le-leopard.jpg,,,,,
Quel est cet animal ?,IMAGE,Le chimpanzé,Grand singe présent dans le parc de Taï.,MOYEN,150,25,Nature,Le buffle,Le chimpanzé,L'éléphant,L'antilope,img/le-chimpanze.jpg,,,,,
Quel est cet animal ?,IMAGE,Le crocodile,Reptile des lacs de Yamoussoukro.,FACILE,100,25,Nature,Le pangolin,Le calao,Le crocodile,Le mandrill,img/le-crocodile.jpg,,,,,
Quel est cet animal ?,IMAGE,L'antilope,Herbivore de savane.,MOYEN,150,25,Nature,L'antilope,Le léopard,Le buffle,Le crocodile,img/l-antilope.jpg,,,,,
Quel est cet animal ?,IMAGE,Le pangolin,Mammifère à écailles.,DIFFICILE,200,25,Nature,Le calao,L'éléphant,Le pangolin,Le lion,img/le-pangolin.jpg,,,,,
Quel est cet animal ?,IMAGE,Le calao,Oiseau au grand bec.,DIFFICILE,200,25,Nature,Le calao,La girafe,L'antilope,Le lion,img/le-calao.jpg,,,,,
Quel est cet animal ?,IMAGE,Le mandrill,Primate au visage coloré.,DIFFICILE,200,25,Nature,Le pangolin,Le buffle,Le chimpanzé,Le mandrill,img/le-mandrill.jpg,,,,,
Quelle équipe / quel club est-ce ?,IMAGE,Les Lions de la Teranga,Sélection du Sénégal.,MOYEN,150,25,Sport,Les Black Stars,Le Stade d'Abidjan,Le Africa Sports,Les Lions de la Teranga,img/les-lions-de-la-teranga.png,,,,,
Quelle équipe / quel club est-ce ?,IMAGE,Les Black Stars,Sélection du Ghana.,MOYEN,150,25,Sport,L'ASEC Mimosas,Les Black Stars,Le Stade d'Abidjan,Les Super Eagles,img/les-black-stars.png,,,,,
Quelle équipe / quel club est-ce ?,IMAGE,Les Super Eagles,Sélection du Nigeria.,MOYEN,150,25,Sport,Les Super Eagles,Les Lions indomptables,L'ASEC Mimosas,Le Stade d'Abidjan,img/les-super-eagles.png,,,,,
Quelle équipe / quel club est-ce ?,IMAGE,Les Lions indomptables,Sélection du Cameroun.,MOYEN,150,25,Sport,Les Éléphants,L'ASEC Mimosas,Les Black Stars,Les Lions indomptables,img/les-lions-indomptables.png,,,,,
